,Trial,Hit/Miss,Peak Frequency,Lower Frequency Bound,Upper Frequency Bound,Frequency Span,Peak Time,Event Onset Time,Event Offset Time,Event Duration,Peak Power,Normalized Peak Power,Outlier Event,ob,obpres,contact,grip,event_name,window
362,25,380.9757333333333,17,14,22,8,0.257,0.186,0.338,0.152,1065.508111206904,8.37711033207447,True,1,380.9447333333333,382.5695,2,go,"(-0.5, 0)"
363,25,380.9757333333333,18,14,24,10,0.245,0.175,0.321,0.146,1063.865600072881,7.838918831167518,True,1,380.9447333333333,382.5695,2,go,"(-0.5, 0)"
402,28,410.3661333333333,18,15,23,8,0.435,0.37,0.499,0.129,903.8288070255626,6.659714023142574,True,1,410.3351,411.7885333333333,1,go,"(-0.5, 0)"
414,29,416.16296666666665,17,13,22,9,0.169,0.102,0.234,0.132,2008.4183874383486,15.790346640797228,True,1,416.13193333333334,418.2880333333333,2,go,"(-0.5, 0)"
467,33,460.95956666666666,15,12,20,8,0.376,0.266,0.465,0.199,551.9758227932022,6.0774834869092835,True,1,460.92853333333335,462.4445,2,go,"(-0.5, 0)"
495,35,484.1000666666667,16,13,21,8,0.145,0.061,0.248,0.187,1249.1112197560396,10.965629066780734,True,0,484.0690333333333,485.22513333333336,3,go,"(-0.5, 0)"
510,36,493.00623333333334,29,25,35,10,0.055,0.006,0.103,0.097,1627.6100049503837,23.885199874455946,True,1,492.97523333333334,494.5688333333333,1,go,"(-0.5, 0)"
511,36,493.00623333333334,29,24,33,9,0.392,0.336,0.478,0.142,1106.4841974940052,16.237671269338847,True,1,492.97523333333334,494.5688333333333,1,go,"(-0.5, 0)"
624,44,590.6158333333333,16,14,19,5,0.109,0.016,0.236,0.22,2226.852596772945,19.548971441773404,True,0,587.5533333333333,591.1307666666667,1,go,"(-0.5, 0)"
636,45,602.4594666666667,21,17,25,8,0.303,0.215,0.377,0.162,744.8382680417315,6.037662699089639,True,1,599.3970666666667,603.0681666666667,1,go,"(-0.5, 0)"
